finding-id	class	status	remaining-work
repair-ea1-3f4cac241e58afd9b6eae48e78a2ac7f63925aa3fc05c7e3a3fd6d789d4637a9--attempt-003-artifact-binding-mismatch	machine-failure	awaiting-validation	retain-partial-evidence; validate
repair-ea1-b0eeafa0e59b4dc0dd9e0abe1cbbed0e687c5827b3ade8320c98c7f82a79032b--attempt-001-machine-repair-lacks-grounded-review-evidence	machine-failure	awaiting-validation	retain-partial-evidence; validate
repair-initialization-a3e2319f-9562-4182-b651-54f409b90e39-initialization-failed	machine-failure	awaiting-validation	retain-partial-evidence; validate
repair-ea1-d991b6a0b13d462645a89c385ca3465f9fdf5bf8bbec27618a4bee6f8dea0a6e--attempt-001-agent-unavailable	environmental-hold	open	verify-or-restore-precondition; disposition-needs-evidence
repair-ea1-504ad8630070adf67604aab739c0c0184b5ccf632f552ec6d2b55fac7ad71c87--attempt-001-feature-card-missing-or-invalid	machine-failure	awaiting-validation	retain-partial-evidence; validate
repair-ea1-504ad8630070adf67604aab739c0c0184b5ccf632f552ec6d2b55fac7ad71c87--attempt-002-agent-unavailable	environmental-hold	open	verify-or-restore-precondition; disposition-needs-evidence
repair-ea1-6ecd77fa689d4c5adb1e1444d7eba993fc5fb7bb60501b873f0d469c7f745317--attempt-001	independent-review-failure	awaiting-validation	retain-partial-evidence; validate
repair-ea1-259a7a93d9a9b63a45020e0ad646c508b9be83097dac6898106a063c1a1eef2e--attempt-001-revision-unchanged	machine-failure	open	implement-and-validate; declare-missing-scope
repair-ea1-9b6ce3a47b9bdc24a5fc6a9b9aab4f270af86a4fcb54550d94b89737bb5e4f35--attempt-001-artifact-binding-mismatch	machine-failure	awaiting-validation	retain-partial-evidence; validate
repair-ea1-9b6ce3a47b9bdc24a5fc6a9b9aab4f270af86a4fcb54550d94b89737bb5e4f35--attempt-003-evidence-not-single-edn	machine-failure	open	implement-and-validate; declare-missing-scope
repair-occ-d36b1b271427fc21dc365b44a3297d65d6761f2d667850154ef578658f27205f	machine-failure	open	implement-and-validate; declare-missing-scope
repair-occ-5ef53a512ad80d55f4bde136724d6ad13e6293cc548a092c90ab0317674753b9	machine-failure	open	implement-and-validate; declare-missing-scope
repair-occ-652aa5f8e36ebcddd88ac69aa13a65e6c3f260cb1e2d056474ee9f46a5006546	machine-failure	open	implement-and-validate; declare-missing-scope
repair-occ-e9eec70e60b38c5f3d0d073dc33832511f8b88a75cb22d4de6dad1a7d49bc4ff	machine-failure	open	implement-and-validate; declare-missing-scope
repair-occ-88bb128331ef06bb2f9b50021e70d3f42d2d33504fcf22d8736b43a044c49d2b	machine-failure	open	implement-and-validate; declare-missing-scope
repair-occ-ae8ec04174c3a799ccf87331a8dabb1532c4bd4f7ed9499cb49aa369b67c19d2	environmental-hold	open	verify-or-restore-precondition; disposition-needs-evidence
repair-occ-f22800c6792de6edc80e03cb44c235cbb38a7e4e75c34b51f5f88c7c8672365a	machine-failure	open	implement-and-validate; declare-missing-scope
repair-occ-0576180e03115d74ce0a32eff59df655649d732e8cdc10f12a86f98b15f51879	machine-failure	open	implement-and-validate; declare-missing-scope
repair-occ-6c6ecaf858aff5c7f9aeef1b92ad205e7ed31ed29882e89fa52f2724d3d039c8	machine-failure	open	implement-and-validate; declare-missing-scope
repair-occ-917bbee700382c988dce8f4d2d69de454062adbeb5de7070eb61973a301af1f6	environmental-hold	open	verify-or-restore-precondition; disposition-needs-evidence
